id,owner_id,title,background_img,visibility,archived,created_at,updated_at,description,workspace_id
1,2,enhance out-of-the-box technologies,https://placeimg.com/364/34/any,public,False,2025-05-09T09:41:26.412913,2025-05-09T09:41:26.412921,Product description will be updated shortly.,3
2,7,mesh innovative users,https://www.lorempixel.com/332/462,public,False,2025-05-09T09:41:26.412953,2025-05-09T09:41:26.412956,Product description will be updated shortly.,5
3,2,architect cross-media experiences,https://dummyimage.com/136x207,public,False,2025-05-09T09:41:26.412977,2025-05-09T09:41:26.412979,Product description will be updated shortly.,1
4,6,re-contextualize scalable metrics,https://placekitten.com/71/766,public,False,2025-05-09T09:41:26.413005,2025-05-09T09:41:26.413009,Product description will be updated shortly.,3
5,6,whiteboard frictionless deliverables,https://placekitten.com/946/895,public,False,2025-05-09T09:41:26.413048,2025-05-09T09:41:26.413053,Product description will be updated shortly.,3
6,1,enable efficient functionalities,https://www.lorempixel.com/994/671,public,False,2025-05-09T09:41:26.413081,2025-05-09T09:41:26.413083,Product description will be updated shortly.,1
7,3,matrix out-of-the-box schemas,https://www.lorempixel.com/841/268,public,False,2025-05-09T09:41:26.413105,2025-05-09T09:41:26.413108,Product description will be updated shortly.,5
8,4,re-intermediate magnetic mindshare,https://dummyimage.com/565x296,public,False,2025-05-09T09:41:26.413132,2025-05-09T09:41:26.413135,Product description will be updated shortly.,4
9,6,disintermediate proactive e-services,https://placeimg.com/404/742/any,public,False,2025-05-09T09:41:26.413155,2025-05-09T09:41:26.413157,Product description will be updated shortly.,5
10,4,iterate bleeding-edge deliverables,https://dummyimage.com/698x942,public,False,2025-05-09T09:41:26.413176,2025-05-09T09:41:26.413178,Product description will be updated shortly.,4
